rank,feature
1,regulatory_inquiry_semantic_000
2,regulatory_inquiry_semantic_001
3,regulatory_inquiry_semantic_002
4,regulatory_inquiry_semantic_003
5,regulatory_inquiry_semantic_049
6,regulatory_inquiry_semantic_095
7,regulatory_inquiry_semantic_006
8,regulatory_inquiry_semantic_057
9,regulatory_inquiry_semantic_041
10,regulatory_inquiry_semantic_108
11,regulatory_inquiry_semantic_195
12,regulatory_inquiry_semantic_283
13,regulatory_inquiry_semantic_079
14,regulatory_inquiry_semantic_285
15,regulatory_inquiry_semantic_065
16,regulatory_inquiry_semantic_051
17,regulatory_inquiry_semantic_287
18,regulatory_inquiry_semantic_068
19,regulatory_inquiry_semantic_295
20,regulatory_inquiry_semantic_062
21,regulatory_inquiry_semantic_198
22,regulatory_inquiry_semantic_167
23,regulatory_inquiry_semantic_132
24,regulatory_inquiry_semantic_125
25,regulatory_inquiry_semantic_113
26,regulatory_inquiry_semantic_012
27,regulatory_inquiry_semantic_097
28,regulatory_inquiry_semantic_157
29,regulatory_inquiry_semantic_110
30,regulatory_inquiry_semantic_014
31,regulatory_inquiry_semantic_008
32,regulatory_inquiry_semantic_275
33,regulatory_inquiry_semantic_249
34,regulatory_inquiry_semantic_067
35,regulatory_inquiry_semantic_078
36,regulatory_inquiry_semantic_274
37,regulatory_inquiry_semantic_169
38,regulatory_inquiry_semantic_233
39,regulatory_inquiry_semantic_099
40,regulatory_inquiry_semantic_201
41,regulatory_inquiry_semantic_082
42,regulatory_inquiry_semantic_246
43,regulatory_inquiry_semantic_284
44,regulatory_inquiry_semantic_091
45,regulatory_inquiry_semantic_115
46,regulatory_inquiry_semantic_031
47,regulatory_inquiry_semantic_119
48,regulatory_inquiry_semantic_296
49,regulatory_inquiry_semantic_240
50,regulatory_inquiry_semantic_235
