,0
announcement_semantic_091,0.2005259320139885
announcement_semantic_113,2.0
announcement_semantic_064,0.10776882991194725
announcement_semantic_093,4.0
announcement_semantic_066,2.0
announcement_semantic_183,0.0
announcement_semantic_078,0.0
announcement_semantic_189,0.0
announcement_semantic_188,0.0
announcement_semantic_112,0.0529705826193094
announcement_semantic_105,0.0
announcement_semantic_077,0.0
announcement_semantic_080,0.0
announcement_semantic_107,0.0
announcement_semantic_109,2.0
announcement_semantic_149,2.0
announcement_semantic_074,2.0
announcement_semantic_182,0.0
announcement_semantic_050,0.0
announcement_semantic_101,4.0
announcement_semantic_079,0.0
announcement_semantic_025,0.0
announcement_semantic_106,0.0
announcement_semantic_023,0.0
announcement_semantic_053,0.0
announcement_semantic_092,0.06390763074159615
announcement_semantic_052,0.0
announcement_semantic_065,0.03478647954761975
announcement_semantic_100,0.0508363656699657
announcement_semantic_156,0.0486925411969423
announcement_semantic_055,11.0
announcement_semantic_153,2.0
announcement_semantic_161,0.0
announcement_semantic_039,0.0
announcement_semantic_167,1.0
announcement_semantic_072,3.0
announcement_semantic_099,7.0
announcement_semantic_082,27.0
announcement_semantic_059,0.0
announcement_semantic_164,0.0
announcement_semantic_038,0.0
announcement_semantic_005,0.0
announcement_semantic_047,0.0
announcement_semantic_160,0.0
announcement_semantic_076,0.0
announcement_semantic_037,0.0
announcement_semantic_165,0.0
announcement_semantic_032,0.0
announcement_semantic_086,0.0
announcement_semantic_195,60.0
announcement_semantic_012,0.0
announcement_semantic_045,0.0
announcement_semantic_020,0.0
announcement_semantic_011,0.0
announcement_semantic_019,0.0
announcement_semantic_108,0.0438277423381805
announcement_semantic_028,0.0
announcement_semantic_046,0.0
announcement_semantic_004,0.0
announcement_semantic_057,9.0
announcement_semantic_010,0.0
announcement_semantic_073,0.0308892503380775
announcement_semantic_022,0.0
announcement_semantic_049,0.0
announcement_semantic_017,0.0
announcement_semantic_003,0.0
announcement_semantic_075,0.0
announcement_semantic_166,0.0087062311358749
announcement_semantic_021,0.0
announcement_semantic_030,0.0
announcement_semantic_008,0.0
announcement_semantic_187,0.0
announcement_semantic_007,0.0
announcement_semantic_006,0.0
announcement_semantic_102,0.012671429198235249
announcement_semantic_137,1.0
announcement_semantic_171,0.0
announcement_semantic_170,0.0
announcement_semantic_048,0.0
announcement_semantic_186,0.0
announcement_semantic_148,0.0097594219259917
announcement_semantic_084,15.0
announcement_semantic_136,0.2879517078399658
announcement_semantic_035,0.0
announcement_semantic_131,1.0
announcement_semantic_009,0.0
f2_loss_flag,0.0
f2_neg_pe_flag,0.0
f2_high_debt_flag,0.0
f2_profit_ocf_diverge,0.0
f2_neg_accruals_flag,0.0
f2_ocf_to_profit_extreme,0.0
f2_p_roa,1.0
f2_p_cfo,1.0
f2_benford_flag,1.0
f2_trend_deterioration,2.0
f2_industry_outlier_count,0.0
mkt_market_cap,4952481260.48
mkt_pe_ratio,20.85245
mkt_pb_ratio,2.2952
mkt_market_cap_qoq,-0.0098622696198841
mkt_pe_change_qoq,-0.0067999999999983
mkt_pb_change_qoq,-0.0245000000000001
mkt_cap_industry_zscore,-0.3166916259597537
mkt_pb_industry_zscore,-0.1983430070872036
mkt_return_5d,-0.0044208590442915
mkt_return_20d,-0.0277527837361116
mkt_return_60d,-0.0208546654197887
mkt_excess_return_20d,-0.0223237051098439
mkt_volatility_20d,0.0240601233045796
mkt_volatility_60d,0.0268424998828224
mkt_max_drawdown_60d,-0.1916546966077644
mkt_extreme_down_days_20d,0.0
mkt_volume_ratio_20d,0.8011368425024675
mkt_volume_cv_20d,0.4425219676408943
mkt_abnormal_volume_days_20d,1.0
mkt_amihud_illiquidity_20d,0.0002580693533309
mkt_financing_balance,264901562.5
mkt_securities_balance,1649105.5
mkt_financing_balance_change,-0.004643982938823
mkt_institutional_holding_ratio,44.010180000000005
mkt_institutional_holding_change,-0.1361910000000037
mkt_institutional_holder_count,10.0
mkt_risk_warning_count_90d,0.0
mkt_days_since_last_risk_warning,220.0
sent_news_count_5d,0.0
sent_news_count_10d,1.0
sent_news_count_30d,5.0
sent_news_title_count_30d,3.0
sent_news_daily_peak_30d,2.0
sent_negative_news_count_30d,1.0
sent_negative_ratio_30d,0.13867521367521365
sent_sentiment_mean_30d,0.0
sent_sentiment_volatility_30d,0.5204164998665332
sent_negative_peak_30d,0.5
sent_post_count_5d,64.0
sent_post_count_30d,377.0
sent_read_count_30d,109574.5
sent_post_daily_peak_30d,43.0
sent_guba_sentiment_mean_30d,0.040456945895333704
sent_guba_sentiment_volatility_30d,0.25398573675216835
sent_guba_positive_ratio_30d,0.24475271289174255
sent_guba_negative_ratio_30d,0.1818181818181818
gov_top1_holder_ratio,0.2837
gov_top10_holder_ratio,0.5452
gov_top1_top10_ratio,0.5368357487922706
gov_top1_top2_gap,0.1715
governance_year,2021.0
gov_board_size,9.0
gov_independent_director_count,4.0
gov_independent_director_ratio,40.0
gov_big4_auditor,0.0
gov_nonstandard_audit_opinion,0.0
gov_audit_firm_change,0.0
gov_auditor_change,1.0
f6_inquiry_count_12m,0.0
f6_inquiry_count_24m,0.0
f6_inquiry_count_60m,1.0
f6_annual_report_inquiry_count,0.0
f6_attention_letter_count,0.0
f6_restructuring_inquiry_count,0.0
f6_first_inquiry_interval_days,458.0
f6_last_inquiry_interval_days,193.0
f6_avg_inquiry_interval_days,0.0
f6_inquiry_interval_cv,0.0
f6_unreplied_count,0.0
