,0
f6_last_inquiry_interval_days,92.0
mkt_volume_ratio_20d,0.8011368425024675
mkt_pe_ratio,20.85245
mkt_volume_cv_20d,0.4425219676408943
sent_read_count_30d,116245.0
mkt_pb_ratio,2.2952
mkt_institutional_holding_change,-0.1361910000000037
mkt_pb_industry_zscore,-0.1983430070872036
mkt_return_5d,-0.0044208590442915
mkt_volatility_20d,0.0240601233045796
mkt_institutional_holding_ratio,44.010180000000005
sent_guba_negative_ratio_30d,0.1898148148148148
mkt_pe_change_qoq,-0.0067999999999983
mkt_excess_return_20d,-0.0223237051098439
mkt_volatility_60d,0.0268424998828224
sent_guba_sentiment_volatility_30d,0.246067121964303
mkt_amihud_illiquidity_20d,0.0002580693533309
mkt_max_drawdown_60d,-0.1916546966077644
mkt_return_20d,-0.0277527837361116
mkt_institutional_holder_count,10.0
mkt_return_60d,-0.0208546654197887
sent_sentiment_mean_30d,0.0
sent_comment_count_30d,503.0
sent_guba_positive_ratio_30d,0.2410184862225322
mkt_cap_industry_zscore,-0.3166916259597537
sent_post_count_5d,65.0
mkt_market_cap,4952481260.48
mkt_pb_change_qoq,-0.0245000000000001
gov_independent_director_ratio,40.0
gov_top10_holder_ratio,0.5452
sent_guba_sentiment_mean_30d,0.0297366185216652
sent_sentiment_volatility_30d,0.5260245124062194
gov_top1_top10_ratio,0.5368357487922706
gov_top1_holder_ratio,0.2837
f6_first_inquiry_interval_days,253.0
mkt_days_since_last_risk_warning,220.0
mkt_market_cap_qoq,-0.0098622696198841
sent_post_daily_peak_30d,45.0
gov_top1_top2_gap,0.1715
mkt_financing_balance,264901562.5
sent_post_count_30d,408.0
mkt_financing_balance_change,-0.004643982938823
governance_year,2021.0
regulatory_inquiry_semantic_003,0.0
gov_board_size,9.0
sent_news_title_count_30d,3.0
regulatory_inquiry_semantic_000,0.0
sent_negative_ratio_30d,0.1487603305785124
f2_trend_deterioration,2.0
mkt_securities_balance,1649105.5
regulatory_inquiry_semantic_001,0.0
f6_inquiry_count_12m,0.0
sent_news_count_30d,5.0
sent_news_count_10d,1.0
sent_news_count_5d,0.0
regulatory_inquiry_semantic_275,0.0
sent_news_daily_peak_30d,2.0
regulatory_inquiry_semantic_006,0.0
regulatory_inquiry_semantic_041,0.0
gov_nonstandard_audit_opinion,0.0
gov_independent_director_count,4.0
f6_inquiry_count_60m,1.0
regulatory_inquiry_semantic_233,0.0
regulatory_inquiry_semantic_249,0.0
regulatory_inquiry_semantic_274,0.0
regulatory_inquiry_semantic_008,0.0
regulatory_inquiry_semantic_157,0.0
regulatory_inquiry_semantic_198,0.0
regulatory_inquiry_semantic_065,0.0
regulatory_inquiry_semantic_051,0.0
regulatory_inquiry_semantic_132,0.0
regulatory_inquiry_semantic_285,0.0
regulatory_inquiry_semantic_201,0.0
regulatory_inquiry_semantic_049,0.0
regulatory_inquiry_semantic_295,0.0
regulatory_inquiry_semantic_002,0.0
regulatory_inquiry_semantic_014,0.0
regulatory_inquiry_semantic_167,0.0
regulatory_inquiry_semantic_110,0.0
regulatory_inquiry_semantic_283,0.0
regulatory_inquiry_semantic_078,0.0
regulatory_inquiry_semantic_125,0.0
regulatory_inquiry_semantic_119,0.0
f6_avg_inquiry_interval_days,0.0
sent_negative_news_count_30d,1.0
regulatory_inquiry_semantic_240,0.0
regulatory_inquiry_semantic_067,0.0
regulatory_inquiry_semantic_287,0.0
regulatory_inquiry_semantic_082,0.0
regulatory_inquiry_semantic_097,0.0
regulatory_inquiry_semantic_284,0.0
f6_inquiry_count_24m,0.0
regulatory_inquiry_semantic_012,0.0
regulatory_inquiry_semantic_079,0.0
f2_benford_flag,1.0
regulatory_inquiry_semantic_113,0.0
f2_p_roa,1.0
regulatory_inquiry_semantic_115,0.0
regulatory_inquiry_semantic_296,0.0
regulatory_inquiry_semantic_091,0.0
regulatory_inquiry_semantic_169,0.0
regulatory_inquiry_semantic_195,0.0
regulatory_inquiry_semantic_108,0.0
f6_attention_letter_count,0.0
regulatory_inquiry_semantic_062,0.0
regulatory_inquiry_semantic_099,0.0
regulatory_inquiry_semantic_031,0.0
regulatory_inquiry_semantic_068,0.0
regulatory_inquiry_semantic_246,0.0
regulatory_inquiry_semantic_235,0.0
regulatory_inquiry_semantic_095,0.0
mkt_extreme_down_days_20d,0.0
f6_inquiry_interval_cv,0.0
regulatory_inquiry_semantic_057,0.0
mkt_abnormal_volume_days_20d,1.0
f2_loss_flag,0.0
f6_annual_report_inquiry_count,0.0
f2_p_cfo,1.0
mkt_risk_warning_count_90d,0.0
f2_neg_accruals_flag,0.0
f2_industry_outlier_count,0.0
f2_profit_ocf_diverge,0.0
sent_negative_peak_30d,0.6666666666666666
f2_ocf_to_profit_extreme,0.0
f2_neg_pe_flag,0.0
f2_high_debt_flag,0.0
gov_auditor_change,1.0
f6_unreplied_count,0.0
gov_big4_auditor,0.0
f6_restructuring_inquiry_count,0.0
gov_top10_holder_count,10.0
gov_audit_firm_change,0.0
