company_code,report_period,risk_probability,risk_rank,risk_level
002383.SZ,20210331,0.8185933616687768,1,A-极高
002168.SZ,20210331,0.8067473942865453,2,A-极高
002427.SZ,20210331,0.7763461545820185,3,A-极高
002622.SZ,20201231,0.7615591426892672,4,A-极高
002316.SZ,20220331,0.7558799889782309,5,A-极高
002069.SZ,20200331,0.7304498882886662,6,A-极高
002383.SZ,20201231,0.7129241807225463,7,A-极高
002417.SZ,20220930,0.7090793229197874,8,A-极高
002121.SZ,20220331,0.7035234647138171,9,A-极高
000671.SZ,20221231,0.6987679251210468,10,A-极高
000908.SZ,20230331,0.692118743966258,11,A-极高
002316.SZ,20230331,0.6906389649387833,12,A-极高
000502.SZ,20220331,0.6739366253075825,13,A-极高
002005.SZ,20230331,0.6711026840463318,14,A-极高
002586.SZ,20200331,0.6669216758055233,15,A-极高
002316.SZ,20221231,0.6650233596426717,16,A-极高
002168.SZ,20220331,0.6570521365472928,17,A-极高
002168.SZ,20210630,0.654460892181638,18,A-极高
000005.SZ,20220331,0.6526507128453918,19,A-极高
002005.SZ,20210930,0.651319010703161,20,A-极高
002622.SZ,20200331,0.6504083932053546,21,A-极高
002005.SZ,20201231,0.6497219959291818,22,A-极高
000671.SZ,20230331,0.6479626352125848,23,A-极高
000673.SZ,20220331,0.6429120987969922,24,A-极高
000673.SZ,20211231,0.6422226040214455,25,A-极高
600870.SH,20200331,0.6401718276704652,26,A-极高
600122.SH,20200331,0.6351198605418478,27,A-极高
000669.SZ,20220331,0.632305885897674,28,A-极高
000679.SZ,20200331,0.6320690419259648,29,A-极高
000040.SZ,20220331,0.6288206836487917,30,A-极高
002383.SZ,20210630,0.6222641001518108,31,A-极高
002471.SZ,20200331,0.6205528837053562,32,A-极高
000980.SZ,20220331,0.6187193451789113,33,A-极高
002264.SZ,20200331,0.6160349480355538,34,A-极高
002622.SZ,20220331,0.6083043466314202,35,A-极高
002217.SZ,20240331,0.6028277609775173,36,A-极高
002622.SZ,20200930,0.5964747627233462,37,A-极高
002168.SZ,20200331,0.5959667536469527,38,A-极高
000005.SZ,20230331,0.5940351878817396,39,A-极高
002770.SZ,20211231,0.5937017569249892,40,A-极高
002781.SZ,20221231,0.5918055599364722,41,A-极高
002383.SZ,20211231,0.5910761633245626,42,A-极高
002005.SZ,20210331,0.5907640955297415,43,A-极高
000980.SZ,20200331,0.590068048065731,44,A-极高
002471.SZ,20201231,0.5873818066866605,45,A-极高
000536.SZ,20200331,0.5852972553764002,46,A-极高
002485.SZ,20220331,0.5848329351973058,47,A-极高
002528.SZ,20230630,0.581710335931535,48,A-极高
002005.SZ,20210630,0.5788927654193917,49,A-极高
000040.SZ,20210331,0.5773865687603186,50,A-极高
603555.SH,20200331,0.576111875734123,51,A-极高
002517.SZ,20200331,0.5759027551960164,52,A-极高
000889.SZ,20220331,0.5736842109076693,53,A-极高
002417.SZ,20221231,0.5703533242278644,54,A-极高
002248.SZ,20200331,0.5674415761421223,55,A-极高
002005.SZ,20240331,0.5668721377777104,56,A-极高
000595.SZ,20200331,0.5658355281853017,57,A-极高
002168.SZ,20201231,0.5657378726336075,58,A-极高
002427.SZ,20200331,0.5636122382354373,59,A-极高
002387.SZ,20220331,0.5595979741657423,60,A-极高
000040.SZ,20201231,0.5582510703941586,61,A-极高
002770.SZ,20220331,0.5549200277321589,62,A-极高
000040.SZ,20200930,0.5532084409149185,63,A-极高
002770.SZ,20210630,0.5522853707734171,64,A-极高
002488.SZ,20200331,0.5504311311390255,65,A-极高
000638.SZ,20211231,0.5493989630819032,66,A-极高
002427.SZ,20230331,0.5491511143927115,67,A-极高
002471.SZ,20200630,0.5453874226487541,68,A-极高
000638.SZ,20220930,0.5428045899242457,69,A-极高
000638.SZ,20220630,0.5416103524733987,70,A-极高
002427.SZ,20211231,0.5413366413268921,71,A-极高
002168.SZ,20210930,0.5367464830733935,72,A-极高
002069.SZ,20201231,0.535591465216264,73,A-极高
000669.SZ,20230331,0.5308892851047353,74,A-极高
000673.SZ,20210331,0.5264927573015429,75,A-极高
000796.SZ,20230331,0.5253162131415713,76,A-极高
002354.SZ,20200331,0.5248489419361242,77,A-极高
000669.SZ,20211231,0.5238816607885757,78,A-极高
002383.SZ,20220331,0.5213329886401756,79,A-极高
000980.SZ,20200930,0.5205373321302241,80,A-极高
002528.SZ,20231231,0.5186103126699582,81,A-极高
000697.SZ,20220331,0.5184250989786268,82,A-极高
002348.SZ,20210930,0.5177462541788923,83,A-极高
000038.SZ,20200331,0.515536954779043,84,A-极高
002316.SZ,20211231,0.5149873063175653,85,A-极高
000980.SZ,20210331,0.5147501656883419,86,A-极高
000068.SZ,20230331,0.5102689041462389,87,A-极高
000889.SZ,20220930,0.5101893840560406,88,A-极高
000908.SZ,20240331,0.5092268800382063,89,A-极高
002069.SZ,20210331,0.5069973811857222,90,A-极高
002024.SZ,20240331,0.5058290922110249,91,A-极高
002622.SZ,20200630,0.504629864841416,92,A-极高
600595.SH,20200331,0.5002558908953593,93,A-极高
002622.SZ,20210331,0.5001856838024104,94,A-极高
600651.SH,20200331,0.49918588044467566,95,A-极高
002316.SZ,20230630,0.49663706573710253,96,A-极高
002781.SZ,20220331,0.4953339069006767,97,A-极高
002586.SZ,20210331,0.49343333467079153,98,A-极高
002622.SZ,20211231,0.4931702608557933,99,A-极高
002383.SZ,20210930,0.49251758997921924,100,A-极高
600303.SH,20221231,0.4923064210435974,101,A-极高
600331.SH,20200331,0.4911099329667084,102,A-极高
000038.SZ,20220930,0.4909966863017274,103,A-极高
002517.SZ,20201231,0.4882117037529219,104,A-极高
000980.SZ,20210930,0.48770552567187075,105,A-极高
002069.SZ,20200930,0.48572093248372955,106,A-极高
002528.SZ,20230930,0.4853253111867035,107,A-极高
002146.SZ,20221231,0.4847908642771584,108,A-极高
000918.SZ,20230331,0.48420573347402623,109,A-极高
000671.SZ,20220930,0.48312082850303206,110,A-极高
002770.SZ,20210930,0.4819956915668942,111,A-极高
002586.SZ,20240331,0.48155887575913614,112,A-极高
000908.SZ,20220331,0.48114134433412803,113,A-极高
002586.SZ,20220331,0.48108617762608474,114,A-极高
002310.SZ,20220331,0.48057206178416,115,A-极高
000669.SZ,20210331,0.47938276842164296,116,A-极高
000980.SZ,20210630,0.4783758733863321,117,A-极高
000980.SZ,20211231,0.4783255982702959,118,A-极高
000889.SZ,20211231,0.47687913535612647,119,A-极高
002742.SZ,20230331,0.4768611548882308,120,A-极高
002316.SZ,20200331,0.475265146330063,121,A-极高
000889.SZ,20230331,0.4752373424147017,122,A-极高
002427.SZ,20210630,0.47476036805251876,123,A-极高
002667.SZ,20211231,0.4743132703525871,124,A-极高
002667.SZ,20240331,0.4737434224134966,125,A-极高
