company_code,report_period,actual,prob,SHAP_top1_feature,SHAP_top1_direction,SHAP_top1_value,SHAP_top2_feature,SHAP_top2_direction,SHAP_top2_value,SHAP_top3_feature,SHAP_top3_direction,SHAP_top3_value,SHAP_top4_feature,SHAP_top4_direction,SHAP_top4_value,SHAP_top5_feature,SHAP_top5_direction,SHAP_top5_value
000005.SZ,20200331,0,0.3849755479579748,sent_read_count_30d,positive_risk,0.2028,f6_inquiry_count_60m,positive_risk,0.18978,f2_p_roa,positive_risk,0.18714,gov_independent_director_ratio,positive_risk,0.14369,mkt_pe_ratio,negative_risk,-0.1408
000005.SZ,20200630,0,0.17135423984958895,sent_read_count_30d,negative_risk,-0.22537,f6_inquiry_count_60m,positive_risk,0.17426,regulatory_inquiry_semantic_001,negative_risk,-0.15808,f2_p_roa,positive_risk,0.15405,sent_news_daily_peak_30d,negative_risk,-0.14706
000005.SZ,20200930,0,0.2539116205713068,f6_inquiry_count_60m,positive_risk,0.18653,regulatory_inquiry_semantic_001,negative_risk,-0.15178,f2_p_roa,positive_risk,0.13747,sent_guba_negative_ratio_30d,positive_risk,0.13481,mkt_institutional_holder_count,positive_risk,0.12907
000005.SZ,20201231,0,0.18902200214653941,mkt_volatility_20d,negative_risk,-0.233,sent_read_count_30d,negative_risk,-0.20228,f6_inquiry_count_60m,positive_risk,0.18562,f2_p_roa,positive_risk,0.17315,regulatory_inquiry_semantic_001,negative_risk,-0.15093
000005.SZ,20210331,1,0.4797561658198606,gov_nonstandard_audit_opinion,positive_risk,0.37956,sent_read_count_30d,positive_risk,0.31043,f6_inquiry_count_60m,positive_risk,0.183,sent_post_count_5d,positive_risk,0.14742,mkt_amihud_illiquidity_20d,positive_risk,0.13337
000005.SZ,20210630,0,0.3672917717307827,regulatory_inquiry_semantic_001,positive_risk,0.38525,gov_nonstandard_audit_opinion,positive_risk,0.31559,regulatory_inquiry_semantic_003,positive_risk,0.22645,f6_inquiry_count_12m,negative_risk,-0.15192,mkt_institutional_holder_count,positive_risk,0.13537
000005.SZ,20210930,1,0.3786336338745056,regulatory_inquiry_semantic_001,positive_risk,0.37215,gov_nonstandard_audit_opinion,positive_risk,0.35658,regulatory_inquiry_semantic_003,positive_risk,0.21757,f6_inquiry_count_12m,negative_risk,-0.14942,mkt_institutional_holder_count,positive_risk,0.1234
000005.SZ,20211231,1,0.49335957285178855,gov_nonstandard_audit_opinion,positive_risk,0.36851,regulatory_inquiry_semantic_001,positive_risk,0.34785,regulatory_inquiry_semantic_003,positive_risk,0.23428,f6_attention_letter_count,positive_risk,0.14281,mkt_institutional_holder_count,positive_risk,0.1392
000005.SZ,20220331,1,0.7690647301424525,regulatory_inquiry_semantic_001,positive_risk,0.46243,gov_nonstandard_audit_opinion,positive_risk,0.32568,regulatory_inquiry_semantic_003,positive_risk,0.23752,f6_attention_letter_count,positive_risk,0.17108,f6_inquiry_count_12m,positive_risk,0.14908
000005.SZ,20220630,0,0.5931146673477792,regulatory_inquiry_semantic_001,positive_risk,0.63459,gov_nonstandard_audit_opinion,positive_risk,0.35539,f6_attention_letter_count,positive_risk,0.17384,regulatory_inquiry_semantic_003,positive_risk,0.15184,mkt_institutional_holder_count,positive_risk,0.15157
