company_code,report_period,split,gov_top1_holder_ratio,gov_top10_holder_ratio,gov_top10_hhi,gov_top1_top10_ratio,gov_top1_top2_gap,gov_top10_holder_count,governance_year,gov_board_size,gov_independent_director_count,gov_independent_director_ratio,audit_year,gov_big4_auditor,gov_nonstandard_audit_opinion,gov_audit_firm_change,gov_auditor_change
000004.SZ,20200331,Train,0.2837,0.5452,0.102793355,0.5368357487922706,0.1715,10.0,2019,14.0,6.0,42.8571,2019,0.0,0.0,0.0,1.0
000004.SZ,20200630,Train,0.2837,0.5452,0.102793355,0.5368357487922706,0.1715,10.0,2019,14.0,6.0,42.8571,2019,0.0,0.0,0.0,1.0
000004.SZ,20200930,Train,0.2837,0.5452,0.102793355,0.5368357487922706,0.1715,10.0,2019,14.0,6.0,42.8571,2019,0.0,0.0,0.0,1.0
000004.SZ,20201231,Train,0.1447,0.5925999999999999,0.05230357999999999,0.2441781977725279,0.04589999999999998,10.0,2019,14.0,6.0,42.8571,2019,0.0,0.0,0.0,1.0
000004.SZ,20210331,Train,0.1447,0.5925999999999999,0.05230357999999999,0.2441781977725279,0.04589999999999998,10.0,2020,9.0,3.0,33.3333,2020,0.0,0.0,0.0,1.0
000004.SZ,20210630,Train,0.1447,0.5925999999999999,0.05230357999999999,0.2441781977725279,0.04589999999999998,10.0,2020,9.0,3.0,33.3333,2020,0.0,0.0,0.0,1.0
000004.SZ,20210930,Train,0.1447,0.5925999999999999,0.05230357999999999,0.2441781977725279,0.04589999999999998,10.0,2020,9.0,3.0,33.3333,2020,0.0,0.0,0.0,1.0
000004.SZ,20211231,Train,0.1531,0.5141000000000001,0.046280289999999995,0.29780198404979574,0.0641,10.0,2020,9.0,3.0,33.3333,2020,0.0,0.0,0.0,1.0
000004.SZ,20220331,Train,0.1531,0.5141000000000001,0.046280289999999995,0.29780198404979574,0.0641,10.0,2021,10.0,4.0,40.0,2021,0.0,1.0,1.0,1.0
000004.SZ,20220630,Train,0.1531,0.5141000000000001,0.046280289999999995,0.29780198404979574,0.0641,10.0,2021,10.0,4.0,40.0,2021,0.0,1.0,1.0,1.0
000004.SZ,20220930,Train,0.1531,0.5141000000000001,0.046280289999999995,0.29780198404979574,0.0641,10.0,2021,10.0,4.0,40.0,2021,0.0,1.0,1.0,1.0
000004.SZ,20221231,Train,0.1822,0.4254,0.04428914,0.42830277385989657,0.0967,10.0,2021,10.0,4.0,40.0,2021,0.0,1.0,1.0,1.0
000004.SZ,20230331,Train,0.1822,0.4254,0.04428914,0.42830277385989657,0.0967,10.0,2022,10.0,3.0,30.0,2022,0.0,0.0,1.0,1.0
000004.SZ,20230630,Train,0.1822,0.4254,0.04428914,0.42830277385989657,0.0967,10.0,2022,10.0,3.0,30.0,2022,0.0,0.0,1.0,1.0
000004.SZ,20230930,Train,0.1822,0.4254,0.04428914,0.42830277385989657,0.0967,10.0,2022,10.0,3.0,30.0,2022,0.0,0.0,1.0,1.0
000004.SZ,20231231,Train,0.18289999999999998,0.3811,0.040166070000000005,0.4799265284702177,0.12449999999999997,10.0,2022,10.0,3.0,30.0,2022,0.0,0.0,1.0,1.0
000004.SZ,20240331,Train,0.18289999999999998,0.3811,0.040166070000000005,0.4799265284702177,0.12449999999999997,10.0,2023,7.0,2.0,28.57,2023,0.0,0.0,0.0,0.0
000004.SZ,20240630,Train,0.18289999999999998,0.3811,0.040166070000000005,0.4799265284702177,0.12449999999999997,10.0,2023,7.0,2.0,28.57,2023,0.0,0.0,0.0,0.0
000004.SZ,20240930,Train,0.18289999999999998,0.3811,0.040166070000000005,0.4799265284702177,0.12449999999999997,10.0,2023,7.0,2.0,28.57,2023,0.0,0.0,0.0,0.0
000004.SZ,20241231,Train,0.18289999999999998,0.3608,0.03856717999999999,0.5069290465631928,0.14289999999999997,10.0,2023,7.0,2.0,28.57,2023,0.0,0.0,0.0,0.0
000005.SZ,20200331,Test,0.2837,0.5452,0.102793355,0.5368357487922706,0.1715,10.0,2019,18.0,8.0,50.0,2019,0.0,0.0,0.0,1.0
000005.SZ,20200630,Test,0.2837,0.5452,0.102793355,0.5368357487922706,0.1715,10.0,2019,18.0,8.0,50.0,2019,0.0,0.0,0.0,1.0
000005.SZ,20200930,Test,0.2837,0.5452,0.102793355,0.5368357487922706,0.1715,10.0,2019,18.0,8.0,50.0,2019,0.0,0.0,0.0,1.0
000005.SZ,20201231,Test,0.1391,0.2315,0.02091975,0.6008639308855291,0.1091,10.0,2019,18.0,8.0,50.0,2019,0.0,0.0,0.0,1.0
