company_code,report_period,split,f6_inquiry_count_12m,f6_inquiry_count_24m,f6_inquiry_count_60m,f6_annual_report_inquiry_count,f6_attention_letter_count,f6_restructuring_inquiry_count,f6_first_inquiry_interval_days,f6_last_inquiry_interval_days,f6_avg_inquiry_interval_days,f6_inquiry_interval_cv,f6_unreplied_count,f6_severity_score
000004.SZ,20200331,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000004.SZ,20200630,Train,1,1,1,1,0,0,12.0,12.0,0.0,0.0,1,0.1
000004.SZ,20200930,Train,1,1,1,1,0,0,104.0,104.0,0.0,0.0,0,0.1
000004.SZ,20201231,Train,1,1,1,1,0,0,196.0,196.0,0.0,0.0,0,0.1
000004.SZ,20210331,Train,1,1,1,1,0,0,286.0,286.0,0.0,0.0,0,0.1
000004.SZ,20210630,Train,1,2,2,2,0,0,377.0,43.0,334.0,0.0,0,0.2
000004.SZ,20210930,Train,1,2,2,2,0,0,469.0,135.0,334.0,0.0,0,0.2
000004.SZ,20211231,Train,2,3,3,3,0,0,561.0,0.0,280.5,0.19073083778966132,0,0.3
000004.SZ,20220331,Train,2,3,3,3,0,0,651.0,90.0,280.5,0.19073083778966132,0,0.3
000004.SZ,20220630,Train,1,2,3,3,0,0,742.0,181.0,280.5,0.19073083778966132,0,0.3
000004.SZ,20220930,Train,1,2,3,3,0,0,834.0,273.0,280.5,0.19073083778966132,0,0.3
000004.SZ,20221231,Train,2,3,4,3,1,0,926.0,32.0,298.0,0.16847731983852152,0,0.4
000004.SZ,20230331,Train,1,3,4,3,1,0,1016.0,122.0,298.0,0.16847731983852152,0,0.4
000004.SZ,20230630,Train,3,4,6,5,1,0,1107.0,16.0,218.2,0.5160118383689609,0,0.6
000004.SZ,20230930,Train,3,4,6,5,1,0,1199.0,108.0,218.2,0.5160118383689609,0,0.6
000004.SZ,20231231,Train,2,4,6,5,1,0,1291.0,200.0,218.2,0.5160118383689609,0,0.6
000004.SZ,20240331,Train,2,3,6,5,1,0,1382.0,291.0,218.2,0.5160118383689609,0,0.6
000004.SZ,20240630,Train,0,3,6,5,1,0,1473.0,382.0,218.2,0.5160118383689609,0,0.6
000004.SZ,20240930,Train,0,3,6,5,1,0,1565.0,474.0,218.2,0.5160118383689609,0,0.6
000004.SZ,20241231,Train,0,2,6,5,1,0,1657.0,566.0,218.2,0.5160118383689609,0,0.6
000005.SZ,20200331,Test,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000005.SZ,20200630,Test,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000005.SZ,20200930,Test,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000005.SZ,20201231,Test,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000005.SZ,20210331,Test,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000005.SZ,20210630,Test,1,1,1,1,0,0,41.0,41.0,0.0,0.0,1,0.1
000005.SZ,20210930,Test,1,1,1,1,0,0,133.0,133.0,0.0,0.0,0,0.1
000005.SZ,20211231,Test,2,2,2,1,1,0,225.0,15.0,210.0,0.0,0,0.2
000005.SZ,20220331,Test,3,3,3,1,2,0,315.0,73.0,121.0,0.7355371900826446,0,0.3
000005.SZ,20220630,Test,3,4,4,2,2,0,406.0,36.0,123.33333333333333,0.5898087493818093,1,0.4
000005.SZ,20220930,Test,3,4,4,2,2,0,498.0,128.0,123.33333333333333,0.5898087493818093,0,0.4
000005.SZ,20221231,Test,2,4,4,2,2,0,590.0,220.0,123.33333333333333,0.5898087493818093,0,0.4
000005.SZ,20230331,Test,1,4,4,2,2,0,680.0,310.0,123.33333333333333,0.5898087493818093,0,0.4
000005.SZ,20230630,Test,1,4,5,3,2,0,771.0,16.0,188.75,0.6868376635375217,1,0.5
000005.SZ,20230930,Test,1,4,5,3,2,0,863.0,108.0,188.75,0.6868376635375217,0,0.5
000005.SZ,20231231,Test,1,3,5,3,2,0,955.0,200.0,188.75,0.6868376635375217,0,0.5
000005.SZ,20240331,Test,2,3,6,3,3,0,1046.0,39.0,201.4,0.5892854834913025,1,0.6
000005.SZ,20240630,Test,1,2,6,3,3,0,1137.0,130.0,201.4,0.5892854834913025,1,0.6
000005.SZ,20241231,Test,1,2,6,3,3,0,1321.0,314.0,201.4,0.5892854834913025,1,0.6
000007.SZ,20200331,Train,2,2,2,0,2,0,74.0,19.0,55.0,0.0,0,0.2
000007.SZ,20200630,Train,4,4,4,1,3,0,165.0,32.0,44.333333333333336,0.2028682340335645,0,0.4
000007.SZ,20200930,Train,4,4,4,1,3,0,257.0,124.0,44.333333333333336,0.2028682340335645,0,0.4
000007.SZ,20201231,Train,4,4,4,1,3,0,349.0,216.0,44.333333333333336,0.2028682340335645,0,0.4
000007.SZ,20210331,Train,4,6,6,1,4,1,439.0,51.0,77.6,0.9566543714181688,0,0.6
000007.SZ,20210630,Train,3,7,7,2,4,1,530.0,33.0,82.83333333333333,0.8302353121971987,0,0.7
000007.SZ,20210930,Train,4,8,8,3,4,1,622.0,24.0,85.42857142857143,0.7490033571455706,0,0.8
000007.SZ,20211231,Train,5,9,9,3,5,1,714.0,24.0,86.25,0.6944131477929888,0,0.9
000007.SZ,20220331,Train,4,8,10,3,6,1,804.0,62.0,82.44444444444444,0.6972514949414923,0,1.0
000007.SZ,20220630,Train,5,8,12,4,7,1,895.0,57.0,76.18181818181819,0.7311910703816705,0,1.0
000007.SZ,20220930,Train,4,8,12,4,7,1,987.0,149.0,76.18181818181819,0.7311910703816705,0,1.0
000007.SZ,20221231,Train,5,10,14,5,8,1,1079.0,8.0,82.38461538461539,0.8245937003029162,0,1.0
000007.SZ,20230331,Train,7,11,17,5,10,2,1169.0,3.0,72.875,0.8836383187629309,1,1.0
000007.SZ,20230630,Train,8,13,20,7,11,2,1260.0,10.0,65.78947368421052,0.939655085656434,1,1.0
000007.SZ,20230930,Train,8,12,20,7,11,2,1352.0,102.0,65.78947368421052,0.939655085656434,0,1.0
000007.SZ,20231231,Train,6,11,20,7,11,2,1444.0,194.0,65.78947368421052,0.939655085656434,0,1.0
000007.SZ,20240331,Train,3,10,20,7,11,2,1535.0,285.0,65.78947368421052,0.939655085656434,0,1.0
000007.SZ,20240630,Train,1,9,21,8,11,2,1626.0,45.0,79.05,1.0562402695408981,0,1.0
000007.SZ,20240930,Train,1,9,21,8,11,2,1718.0,137.0,79.05,1.0562402695408981,0,1.0
000007.SZ,20241231,Train,1,7,21,8,11,2,1810.0,229.0,79.05,1.0562402695408981,0,1.0
000008.SZ,20200331,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000008.SZ,20200630,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000008.SZ,20200930,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000008.SZ,20201231,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000008.SZ,20210331,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000008.SZ,20210630,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000008.SZ,20210930,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000008.SZ,20211231,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000008.SZ,20220331,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000008.SZ,20220630,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000008.SZ,20220930,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000008.SZ,20221231,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000008.SZ,20230331,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000008.SZ,20230630,Train,1,1,1,1,0,0,56.0,56.0,0.0,0.0,0,0.1
000008.SZ,20230930,Train,1,1,1,1,0,0,148.0,148.0,0.0,0.0,0,0.1
000008.SZ,20231231,Train,1,1,1,1,0,0,240.0,240.0,0.0,0.0,0,0.1
000008.SZ,20240331,Train,1,1,1,1,0,0,331.0,331.0,0.0,0.0,0,0.1
000008.SZ,20240630,Train,1,2,2,2,0,0,422.0,65.0,357.0,0.0,0,0.2
000008.SZ,20240930,Train,1,2,2,2,0,0,514.0,157.0,357.0,0.0,0,0.2
000008.SZ,20241231,Train,1,2,2,2,0,0,606.0,249.0,357.0,0.0,0,0.2
000009.SZ,20200331,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000009.SZ,20200630,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000009.SZ,20200930,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000009.SZ,20201231,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000009.SZ,20210331,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000009.SZ,20210630,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000009.SZ,20210930,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000009.SZ,20211231,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000009.SZ,20220331,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000009.SZ,20220630,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000009.SZ,20220930,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000009.SZ,20221231,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000009.SZ,20230331,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000009.SZ,20230630,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000009.SZ,20230930,Validation,1,1,1,0,1,0,23.0,23.0,0.0,0.0,1,0.1
000009.SZ,20231231,Validation,1,1,1,0,1,0,115.0,115.0,0.0,0.0,1,0.1
000009.SZ,20240331,Validation,1,1,1,0,1,0,206.0,206.0,0.0,0.0,1,0.1
000009.SZ,20240630,Validation,1,1,1,0,1,0,297.0,297.0,0.0,0.0,1,0.1
000009.SZ,20240930,Validation,0,1,1,0,1,0,389.0,389.0,0.0,0.0,1,0.1
000009.SZ,20241231,Validation,0,1,1,0,1,0,481.0,481.0,0.0,0.0,1,0.1
000010.SZ,20200331,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000010.SZ,20200630,Train,1,1,1,1,0,0,0.0,0.0,0.0,0.0,1,0.1
000010.SZ,20200930,Train,1,1,1,1,0,0,92.0,92.0,0.0,0.0,0,0.1
000010.SZ,20201231,Train,1,1,1,1,0,0,184.0,184.0,0.0,0.0,0,0.1
000010.SZ,20210331,Train,1,1,1,1,0,0,274.0,274.0,0.0,0.0,0,0.1
000010.SZ,20210630,Train,1,1,1,1,0,0,365.0,365.0,0.0,0.0,0,0.1
000010.SZ,20210930,Train,0,1,1,1,0,0,457.0,457.0,0.0,0.0,0,0.1
000010.SZ,20211231,Train,0,1,1,1,0,0,549.0,549.0,0.0,0.0,0,0.1
000010.SZ,20220331,Train,0,1,1,1,0,0,639.0,639.0,0.0,0.0,0,0.1
000010.SZ,20220630,Train,0,1,1,1,0,0,730.0,730.0,0.0,0.0,0,0.1
000010.SZ,20220930,Train,0,0,1,1,0,0,822.0,822.0,0.0,0.0,0,0.1
000010.SZ,20221231,Train,0,0,1,1,0,0,914.0,914.0,0.0,0.0,0,0.1
000010.SZ,20230331,Train,0,0,1,1,0,0,1004.0,1004.0,0.0,0.0,0,0.1
000010.SZ,20230630,Train,0,0,1,1,0,0,1095.0,1095.0,0.0,0.0,0,0.1
000010.SZ,20230930,Train,0,0,1,1,0,0,1187.0,1187.0,0.0,0.0,0,0.1
