company_code,report_period,split,sent_news_count_5d,sent_news_count_10d,sent_news_count_30d,sent_news_title_count_30d,sent_news_daily_peak_30d,sent_negative_news_count_30d,sent_negative_ratio_30d,sent_sentiment_mean_30d,sent_sentiment_volatility_30d,sent_negative_peak_30d,sent_post_count_5d,sent_post_count_30d,sent_comment_count_30d,sent_read_count_30d,sent_post_daily_peak_30d,sent_guba_sentiment_mean_30d,sent_guba_sentiment_volatility_30d,sent_guba_positive_ratio_30d,sent_guba_negative_ratio_30d
000004.SZ,20200331,Train,0.0,0.0,5.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,84.0,1881.0,2476.0,1077187.0,329.0,0.045188729399255716,0.1902628917962701,0.266347687400319,0.22115895800106328
000004.SZ,20200630,Train,2.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,31.0,355.0,244.0,86520.0,43.0,0.028169014084507043,0.27658453648073117,0.28169014084507044,0.2535211267605634
000004.SZ,20200930,Train,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,529.0,263.0,126191.0,44.0,-0.024574669187145556,0.2763213349197882,0.21172022684310018,0.23629489603024575
000004.SZ,20201231,Train,0.0,2.0,11.0,1.0,2.0,5.0,0.45454545454545453,-0.18181818181818182,0.8451542547285166,1.0,104.0,1083.0,939.0,232112.0,171.0,-0.10895660203139428,0.22918859714527978,0.1994459833795014,0.30840258541089566
000004.SZ,20210331,Train,0.0,1.0,2.0,1.0,1.0,2.0,1.0,-1.0,0.0,1.0,26.0,154.0,163.0,107791.0,12.0,0.03896103896103896,0.3409148729206605,0.22077922077922077,0.18181818181818182
000004.SZ,20210630,Train,0.0,0.0,2.0,2.0,2.0,2.0,1.0,-1.0,0.0,1.0,108.0,1988.0,2960.0,936452.0,255.0,-0.07645875251509054,0.15327239149265853,0.18661971830985916,0.2630784708249497
000004.SZ,20210930,Train,1.0,3.0,8.0,6.0,3.0,7.0,0.875,-0.875,0.4472135954999579,1.0,119.0,660.0,1025.0,220945.0,64.0,0.03939393939393939,0.25324968623549904,0.24393939393939393,0.20454545454545456
000004.SZ,20211231,Train,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,1.0,89.0,424.0,566.0,139607.0,36.0,0.04716981132075472,0.2561802091587235,0.25,0.2028301886792453
000004.SZ,20220331,Train,0.0,6.0,12.0,2.0,4.0,1.0,0.08333333333333333,0.5833333333333334,0.6645800679125629,0.5,104.0,598.0,781.0,259406.0,124.0,0.016722408026755852,0.29874685297323594,0.225752508361204,0.20903010033444816
000004.SZ,20220630,Train,0.0,8.0,8.0,3.0,5.0,5.0,0.625,-0.5,1.0,1.0,76.0,415.0,247.0,47564.0,28.0,0.09156626506024096,0.34387212338244155,0.27710843373493976,0.1855421686746988
