rho,type,feature_a,family_a,source_a,desc_a,feature_b,family_b,source_b,desc_b
1.0,F1内部,announcement_semantic_168,F1,th_F02_max,主题 F02 近180天最高风险分,announcement_semantic_169,F1,th_F02_cnt,主题 F02 近180天证据条数
1.0,F2↔F2,f2_accruals_to_assets,F2,,,f2_tata,F2,,
1.0,F2↔F2,f2_neg_accruals_flag,F2,,,f2_p_accrual,F2,,
1.0,F3↔F3,mkt_market_cap,F3,,,mkt_log_market_cap,F3,,
1.0,F5↔F5,governance_year,F5,,,audit_year,F5,,
0.9999999687304603,F1内部,announcement_semantic_154,F1,th_E02_max,主题 E02 近180天最高风险分,announcement_semantic_155,F1,th_E02_cnt,主题 E02 近180天证据条数
0.9999992185399483,F1内部,announcement_semantic_178,F1,th_G01_max,主题 G01 近180天最高风险分,announcement_semantic_179,F1,th_G01_cnt,主题 G01 近180天证据条数
0.9999966530711799,F1内部,announcement_semantic_158,F1,th_E04_max,主题 E04 近180天最高风险分,announcement_semantic_159,F1,th_E04_cnt,主题 E04 近180天证据条数
0.9999965386488544,F1内部,announcement_semantic_162,F1,th_E06_max,主题 E06 近180天最高风险分,announcement_semantic_163,F1,th_E06_cnt,主题 E06 近180天证据条数
0.9999958421837025,F1内部,announcement_semantic_116,F1,th_A05_max,主题 A05 近180天最高风险分,announcement_semantic_117,F1,th_A05_cnt,主题 A05 近180天证据条数
0.9999914835621706,F1内部,announcement_semantic_174,F1,th_F05_max,主题 F05 近180天最高风险分,announcement_semantic_175,F1,th_F05_cnt,主题 F05 近180天证据条数
0.9999868309826118,F1内部,announcement_semantic_144,F1,th_D02_max,主题 D02 近180天最高风险分,announcement_semantic_145,F1,th_D02_cnt,主题 D02 近180天证据条数
0.9999709912458025,F1内部,announcement_semantic_192,F1,th_H02_max,主题 H02 近180天最高风险分,announcement_semantic_193,F1,th_H02_cnt,主题 H02 近180天证据条数
0.9999684363284329,F1内部,announcement_semantic_118,F1,th_A06_max,主题 A06 近180天最高风险分,announcement_semantic_119,F1,th_A06_cnt,主题 A06 近180天证据条数
0.9999653519666436,F1内部,announcement_semantic_184,F1,th_G05_max,主题 G05 近180天最高风险分,announcement_semantic_185,F1,th_G05_cnt,主题 G05 近180天证据条数
0.9999625907270804,F1内部,announcement_semantic_180,F1,th_G03_max,主题 G03 近180天最高风险分,announcement_semantic_181,F1,th_G03_cnt,主题 G03 近180天证据条数
0.9999538866130725,F1内部,announcement_semantic_150,F1,th_D05_max,主题 D05 近180天最高风险分,announcement_semantic_151,F1,th_D05_cnt,主题 D05 近180天证据条数
0.9997589607309689,F1内部,announcement_semantic_170,F1,th_F03_max,主题 F03 近180天最高风险分,announcement_semantic_171,F1,th_F03_cnt,主题 F03 近180天证据条数
0.9996683096356419,F3↔F3,mkt_risk_warning_count_30d,F3,,,mkt_risk_warning_flag_30d,F3,,
0.9996575386268847,F1内部,announcement_semantic_106,F1,w180_L1_H_max,近180天 一级主题H 最高分,announcement_semantic_190,F1,th_H01_max,主题 H01 近180天最高风险分
0.999618823924377,F1内部,announcement_semantic_188,F1,th_G07_max,主题 G07 近180天最高风险分,announcement_semantic_189,F1,th_G07_cnt,主题 G07 近180天证据条数
0.9993215418921817,F1内部,announcement_semantic_107,F1,w180_L1_H_cnt,近180天 一级主题H 证据数,announcement_semantic_191,F1,th_H01_cnt,主题 H01 近180天证据条数
0.9993130191152183,F1内部,announcement_semantic_132,F1,th_C02_max,主题 C02 近180天最高风险分,announcement_semantic_133,F1,th_C02_cnt,主题 C02 近180天证据条数
0.9991949895618345,F1内部,announcement_semantic_007,F1,w30_score_max,近30天 风险分最大值,announcement_semantic_008,F1,w30_score_sum,近30天 风险分总和
0.9990679780724029,F1内部,announcement_semantic_006,F1,w30_score_mean,近30天 风险分均值,announcement_semantic_007,F1,w30_score_max,近30天 风险分最大值
0.9989986811427447,F1内部,announcement_semantic_006,F1,w30_score_mean,近30天 风险分均值,announcement_semantic_008,F1,w30_score_sum,近30天 风险分总和
0.9989640745843104,F1内部,announcement_semantic_114,F1,th_A04_max,主题 A04 近180天最高风险分,announcement_semantic_115,F1,th_A04_cnt,主题 A04 近180天证据条数
0.9989012823242062,F1内部,announcement_semantic_110,F1,th_A02_max,主题 A02 近180天最高风险分,announcement_semantic_111,F1,th_A02_cnt,主题 A02 近180天证据条数
0.9988958630513798,F1内部,announcement_semantic_023,F1,w30_L1_G_max,近30天 一级主题G 最高分,announcement_semantic_024,F1,w30_L1_G_cnt,近30天 一级主题G 证据数
0.9988874302589121,F1内部,announcement_semantic_025,F1,w30_L1_H_max,近30天 一级主题H 最高分,announcement_semantic_026,F1,w30_L1_H_cnt,近30天 一级主题H 证据数
0.9986752097503125,F1内部,announcement_semantic_013,F1,w30_L1_B_max,近30天 一级主题B 最高分,announcement_semantic_014,F1,w30_L1_B_cnt,近30天 一级主题B 证据数
0.9986716610558066,F1内部,announcement_semantic_015,F1,w30_L1_C_max,近30天 一级主题C 最高分,announcement_semantic_016,F1,w30_L1_C_cnt,近30天 一级主题C 证据数
0.998536868583489,F6↔F6,f6_inquiry_count_60m,F6,,,f6_severity_score,F6,,
0.9984748443108027,F1内部,announcement_semantic_001,F1,w30_n_rows,近30天 主题命中数,announcement_semantic_003,F1,w30_n_themes,近30天 覆盖主题数
0.9977757061885366,F1内部,announcement_semantic_000,F1,w30_n_ann,近30天 公告数,announcement_semantic_001,F1,w30_n_rows,近30天 主题命中数
0.9973207360683457,F1内部,announcement_semantic_021,F1,w30_L1_F_max,近30天 一级主题F 最高分,announcement_semantic_022,F1,w30_L1_F_cnt,近30天 一级主题F 证据数
0.9967636270397696,F1内部,announcement_semantic_001,F1,w30_n_rows,近30天 主题命中数,announcement_semantic_008,F1,w30_score_sum,近30天 风险分总和
0.9963864776357213,F1内部,announcement_semantic_011,F1,w30_L1_A_max,近30天 一级主题A 最高分,announcement_semantic_012,F1,w30_L1_A_cnt,近30天 一级主题A 证据数
0.9962741296141411,F1内部,announcement_semantic_050,F1,w60_L1_G_max,近60天 一级主题G 最高分,announcement_semantic_051,F1,w60_L1_G_cnt,近60天 一级主题G 证据数
0.9961048803493481,F1内部,announcement_semantic_134,F1,th_C03_max,主题 C03 近180天最高风险分,announcement_semantic_135,F1,th_C03_cnt,主题 C03 近180天证据条数
0.995810612444261,F1内部,announcement_semantic_003,F1,w30_n_themes,近30天 覆盖主题数,announcement_semantic_008,F1,w30_score_sum,近30天 风险分总和
0.9956435666745966,F1内部,announcement_semantic_000,F1,w30_n_ann,近30天 公告数,announcement_semantic_003,F1,w30_n_themes,近30天 覆盖主题数
0.9951402397590152,F1内部,announcement_semantic_052,F1,w60_L1_H_max,近60天 一级主题H 最高分,announcement_semantic_053,F1,w60_L1_H_cnt,近60天 一级主题H 证据数
0.9950284606574172,F1内部,announcement_semantic_003,F1,w30_n_themes,近30天 覆盖主题数,announcement_semantic_007,F1,w30_score_max,近30天 风险分最大值
0.9949773972418547,F1内部,announcement_semantic_001,F1,w30_n_rows,近30天 主题命中数,announcement_semantic_007,F1,w30_score_max,近30天 风险分最大值
