rank,feature
1,announcement_semantic_091
2,announcement_semantic_113
3,announcement_semantic_064
4,announcement_semantic_093
5,announcement_semantic_066
6,announcement_semantic_183
7,announcement_semantic_078
8,announcement_semantic_189
9,announcement_semantic_188
10,announcement_semantic_112
11,announcement_semantic_051
12,announcement_semantic_105
13,announcement_semantic_077
14,announcement_semantic_080
15,announcement_semantic_107
16,announcement_semantic_191
17,announcement_semantic_109
18,announcement_semantic_149
19,announcement_semantic_074
20,announcement_semantic_182
21,announcement_semantic_050
22,announcement_semantic_101
23,announcement_semantic_026
24,announcement_semantic_024
25,announcement_semantic_079
26,announcement_semantic_104
27,announcement_semantic_025
28,announcement_semantic_106
29,announcement_semantic_190
30,announcement_semantic_023
31,announcement_semantic_053
32,announcement_semantic_092
33,announcement_semantic_052
34,announcement_semantic_157
35,announcement_semantic_065
36,announcement_semantic_100
37,announcement_semantic_156
38,announcement_semantic_055
39,announcement_semantic_153
40,announcement_semantic_054
41,announcement_semantic_161
42,announcement_semantic_039
43,announcement_semantic_167
44,announcement_semantic_072
45,announcement_semantic_099
46,announcement_semantic_082
47,announcement_semantic_059
48,announcement_semantic_164
49,announcement_semantic_103
50,announcement_semantic_038
51,announcement_semantic_005
52,announcement_semantic_047
53,announcement_semantic_160
54,announcement_semantic_081
55,announcement_semantic_076
56,announcement_semantic_037
57,announcement_semantic_165
58,announcement_semantic_032
59,announcement_semantic_086
60,announcement_semantic_195
61,announcement_semantic_012
62,announcement_semantic_045
63,announcement_semantic_020
64,announcement_semantic_011
65,announcement_semantic_019
66,announcement_semantic_108
67,announcement_semantic_028
68,announcement_semantic_046
69,announcement_semantic_004
70,announcement_semantic_057
71,announcement_semantic_010
72,announcement_semantic_073
73,announcement_semantic_018
74,announcement_semantic_027
75,announcement_semantic_001
76,announcement_semantic_022
77,announcement_semantic_049
78,announcement_semantic_017
79,announcement_semantic_003
80,announcement_semantic_000
81,announcement_semantic_075
82,announcement_semantic_166
83,announcement_semantic_021
84,announcement_semantic_030
85,announcement_semantic_008
86,announcement_semantic_187
87,announcement_semantic_007
88,announcement_semantic_006
89,announcement_semantic_102
90,announcement_semantic_137
91,announcement_semantic_171
92,announcement_semantic_170
93,announcement_semantic_048
94,announcement_semantic_186
95,announcement_semantic_148
96,announcement_semantic_084
97,announcement_semantic_136
98,announcement_semantic_035
99,announcement_semantic_131
100,announcement_semantic_009
