secucode,year,kind,date,type
000004.SZ,2020,letter,2020-06-18,annual_report
000004.SZ,2021,letter,2021-05-18,annual_report
000004.SZ,2022,letter,2021-12-31,annual_report
000004.SZ,2022,letter,2022-11-29,attention
000004.SZ,2023,letter,2023-05-10,annual_report
000004.SZ,2023,letter,2023-06-14,annual_report
000005.SZ,2021,letter,2021-12-16,attention
000005.SZ,2021,letter,2021-05-20,annual_report
000005.SZ,2022,letter,2022-01-17,attention
000005.SZ,2022,letter,2022-05-25,annual_report
000005.SZ,2023,letter,2023-06-14,annual_report
000005.SZ,2024,letter,2024-02-21,attention
000007.SZ,2020,letter,2020-03-12,attention
000007.SZ,2020,letter,2020-05-29,annual_report
000007.SZ,2020,letter,2020-01-17,attention
000007.SZ,2020,letter,2020-04-14,attention
000007.SZ,2021,letter,2021-05-28,annual_report
000007.SZ,2021,letter,2021-02-08,attention
000007.SZ,2021,letter,2021-12-07,attention
000007.SZ,2021,letter,2021-01-09,restructuring
000007.SZ,2021,letter,2021-09-06,annual_report
000007.SZ,2022,letter,2022-12-23,attention
000007.SZ,2022,letter,2022-05-04,annual_report
000007.SZ,2022,letter,2022-12-14,annual_report
000007.SZ,2022,letter,2022-04-21,attention
000007.SZ,2022,letter,2022-01-28,attention
000007.SZ,2023,letter,2023-05-23,attention
000007.SZ,2023,letter,2023-06-20,annual_report
000007.SZ,2023,letter,2023-03-28,attention
000007.SZ,2023,letter,2023-06-06,annual_report
000007.SZ,2023,letter,2023-01-19,restructuring
000007.SZ,2023,letter,2023-02-27,attention
000007.SZ,2024,letter,2024-05-16,annual_report
000008.SZ,2023,letter,2023-05-05,annual_report
000008.SZ,2024,letter,2024-04-26,annual_report
000009.SZ,2023,letter,2023-09-07,attention
000010.SZ,2020,letter,2020-06-30,annual_report
000011.SZ,2020,letter,2020-06-18,restructuring
000012.SZ,2023,letter,2023-03-22,attention
000012.SZ,2023,letter,2023-03-30,attention
000014.SZ,2022,letter,2022-04-13,annual_report
000014.SZ,2022,letter,2022-01-27,attention
000016.SZ,2020,letter,2020-02-23,attention
000016.SZ,2023,letter,2023-05-05,annual_report
000016.SZ,2024,letter,2024-04-22,annual_report
000017.SZ,2021,letter,2021-06-04,annual_report
000017.SZ,2021,letter,2021-05-17,annual_report
000017.SZ,2022,letter,2022-05-17,annual_report
000017.SZ,2024,letter,2024-01-09,attention
000017.SZ,2024,letter,2024-01-04,restructuring
000020.SZ,2021,letter,2021-12-27,annual_report
000020.SZ,2022,letter,2022-05-13,annual_report
000023.SZ,2020,letter,2020-08-21,attention
000023.SZ,2021,letter,2021-06-30,annual_report
000023.SZ,2023,letter,2023-05-17,annual_report
000023.SZ,2024,letter,2024-04-30,annual_report
000023.SZ,2024,letter,2023-05-04,annual_report
000025.SZ,2022,letter,2022-06-17,restructuring
000025.SZ,2022,letter,2022-06-21,attention
000031.SZ,2023,letter,2023-02-09,attention
000032.SZ,2020,letter,2020-08-10,restructuring
000032.SZ,2022,letter,2022-02-21,annual_report
000034.SZ,2022,letter,2022-04-14,annual_report
000036.SZ,2020,letter,2020-07-27,attention
000038.SZ,2020,letter,2020-02-14,attention
000038.SZ,2020,letter,2019-12-24,annual_report
000038.SZ,2021,letter,2021-05-31,annual_report
000038.SZ,2022,letter,2022-01-27,attention
000038.SZ,2022,letter,2022-09-19,annual_report
000038.SZ,2022,letter,2022-01-24,annual_report
000038.SZ,2022,letter,2022-06-30,annual_report
000038.SZ,2022,letter,2022-10-26,attention
000038.SZ,2022,letter,2022-11-29,quarterly
000038.SZ,2023,letter,2023-01-31,annual_report
000038.SZ,2023,letter,2023-07-11,attention
000038.SZ,2023,letter,2023-03-16,annual_report
000038.SZ,2023,letter,2023-07-14,attention
000038.SZ,2023,letter,2023-03-27,attention
000040.SZ,2020,letter,2020-06-03,annual_report
000040.SZ,2020,letter,2020-01-15,attention
000040.SZ,2020,letter,2020-07-07,attention
000040.SZ,2020,letter,2020-09-24,annual_report
000040.SZ,2021,letter,2021-05-26,annual_report
000040.SZ,2023,letter,2023-05-31,annual_report
000040.SZ,2024,letter,2024-07-05,annual_report
000042.SZ,2024,letter,2024-06-30,annual_report
000045.SZ,2022,letter,2022-08-23,attention
000046.SZ,2021,letter,2021-12-23,restructuring
000046.SZ,2021,letter,2021-01-13,annual_report
000046.SZ,2021,letter,2021-02-01,attention
000046.SZ,2022,letter,2022-01-29,attention
000046.SZ,2022,letter,2022-05-18,annual_report
000046.SZ,2023,letter,2023-04-04,attention
000046.SZ,2023,letter,2023-05-04,attention
000046.SZ,2023,letter,2023-04-24,attention
000046.SZ,2023,letter,2023-05-19,annual_report
000046.SZ,2023,letter,2023-01-31,attention
000048.SZ,2020,letter,2020-03-09,annual_report
000050.SZ,2024,letter,2024-03-30,annual_report
000055.SZ,2020,letter,2020-04-22,attention
000056.SZ,2021,letter,2021-06-01,annual_report
000056.SZ,2021,letter,2021-11-10,quarterly
000056.SZ,2021,letter,2021-08-05,attention
000056.SZ,2022,letter,2022-04-06,annual_report
000056.SZ,2022,letter,2022-05-09,annual_report
000056.SZ,2022,letter,2022-02-07,attention
000056.SZ,2022,letter,2022-03-02,attention
000056.SZ,2022,letter,2022-12-23,attention
000056.SZ,2023,letter,2023-02-07,attention
000056.SZ,2023,letter,2023-01-31,attention
000056.SZ,2023,letter,2023-04-28,attention
000056.SZ,2023,letter,2023-05-12,annual_report
000056.SZ,2023,letter,2023-11-14,attention
