feature,importance_ensemble
announcement_semantic_000,241.0274545974472
f6_last_inquiry_interval_days,226.017130849448
mkt_volume_cv_20d,190.00481936128824
announcement_semantic_001,184.67745749043874
sent_guba_negative_ratio_30d,177.67558284952057
mkt_volume_ratio_20d,177.6708857604971
announcement_semantic_003,171.67182951380835
sent_guba_positive_ratio_30d,170.00578441315267
sent_guba_sentiment_volatility_30d,168.00497715227115
mkt_return_5d,165.67030663181257
mkt_institutional_holding_change,164.3385676253397
mkt_pe_change_qoq,161.33763004986173
mkt_volatility_60d,157.6712508384173
mkt_max_drawdown_60d,152.3382220463349
announcement_semantic_002,149.00774511600721
mkt_volatility_20d,149.00447778966748
announcement_semantic_048,148.67139631653626
announcement_semantic_029,148.6708529694622
f6_inquiry_count_24m,148.0220609958176
announcement_semantic_007,144.3394212212806
mkt_pb_change_qoq,143.0037699447621
sent_post_count_5d,142.67349968184342
announcement_semantic_011,142.6709000173235
mkt_pb_ratio,141.33757129308069
mkt_excess_return_20d,140.3368475026919
announcement_semantic_006,138.00562780027224
mkt_return_60d,137.67033102427902
sent_post_daily_peak_30d,137.34030892991885
mkt_pe_ratio,137.339211947526
announcement_semantic_005,137.338592575396
announcement_semantic_019,137.00697470027185
mkt_amihud_illiquidity_20d,136.67032466707442
mkt_return_20d,136.33757534778917
mkt_institutional_holding_ratio,131.67114367838073
announcement_semantic_036,131.67092609732165
sent_guba_sentiment_mean_30d,130.6704463784181
announcement_semantic_035,130.00407526625824
mkt_market_cap_qoq,129.67022334694357
announcement_semantic_027,128.3387805278815
announcement_semantic_014,127.00459688140188
sent_read_count_30d,126.6786460249729
announcement_semantic_046,126.67185379156156
announcement_semantic_030,126.33822250629879
announcement_semantic_004,126.33752989900795
announcement_semantic_049,126.33733038525509
announcement_semantic_010,126.33696156702688
announcement_semantic_041,124.00368722432448
announcement_semantic_015,123.33742286661307
gov_independent_director_ratio,123.00295013065578
announcement_semantic_013,122.67342149106177
announcement_semantic_037,121.67163992125374
announcement_semantic_032,121.33708840341693
announcement_semantic_026,121.00358480593111
announcement_semantic_008,120.33846853117991
announcement_semantic_025,120.00453429745063
announcement_semantic_045,119.67141006019638
mkt_cap_industry_zscore,119.00416070653158
mkt_days_since_last_risk_warning,118.67424727038473
announcement_semantic_017,118.6722540026841
announcement_semantic_038,118.67067975498894
announcement_semantic_047,117.67084716248841
sent_sentiment_mean_30d,117.66971539265904
sent_sentiment_volatility_30d,117.33649979016212
announcement_semantic_034,116.67176016513928
announcement_semantic_009,116.33745680196715
announcement_semantic_031,116.0032822790331
f6_first_inquiry_interval_days,115.34229242969572
gov_top1_holder_ratio,115.33787268365126
announcement_semantic_033,115.33653767039448
announcement_semantic_020,114.6700632958533
mkt_institutional_holder_count,114.34108356410424
announcement_semantic_042,114.00424877417207
mkt_market_cap,114.00368134845705
announcement_semantic_016,113.33814232598478
announcement_semantic_039,113.00514275831985
announcement_semantic_044,112.6709125884003
mkt_pb_industry_zscore,112.00414502073266
announcement_semantic_012,111.0062692039776
announcement_semantic_028,108.00403062238634
announcement_semantic_022,107.33711707969123
sent_post_count_30d,106.34039954821297
gov_top1_top10_ratio,105.33766576635158
announcement_semantic_024,104.67103588293774
gov_top10_holder_ratio,103.67302699847205
announcement_semantic_023,103.67055683892154
announcement_semantic_043,103.33692641271575
announcement_semantic_018,102.33716633819678
announcement_semantic_040,100.33818045823891
gov_top1_top2_gap,94.00491211703121
f6_inquiry_count_12m,91.35367771057214
announcement_semantic_021,89.3366103607571
f6_inquiry_interval_cv,83.68036381818636
mkt_financing_balance_change,81.33690266659998
sent_negative_ratio_30d,79.33534884383039
mkt_financing_balance,78.00437453543843
f6_avg_inquiry_interval_days,75.67438303145686
gov_board_size,73.33621971746662
sent_news_count_30d,71.00249634081176
sent_news_title_count_30d,70.33535919243563
mkt_securities_balance,68.67137859231829
sent_news_count_10d,51.66953344674798
gov_independent_director_count,50.67108784618299
f6_inquiry_count_60m,45.34545686524254
sent_news_daily_peak_30d,43.33627936229206
sent_news_count_5d,42.00316160266019
sent_negative_news_count_30d,41.00219337797271
f6_attention_letter_count,40.67390167724779
f6_annual_report_inquiry_count,33.67754711635411
f2_trend_deterioration,32.337194251496946
mkt_abnormal_volume_days_20d,26.66832212725599
gov_nonstandard_audit_opinion,21.676934192032874
mkt_extreme_down_days_20d,21.336459736702476
f6_unreplied_count,14.335130695991017
f6_restructuring_inquiry_count,12.3346879408286
mkt_risk_warning_count_30d,11.668458502096714
gov_auditor_change,11.003844428443827
sent_negative_peak_30d,9.001460221001688
gov_audit_firm_change,8.670270066004663
f2_benford_flag,7.671326721746113
f2_industry_outlier_count,6.6680795412231255
f2_loss_flag,6.004122914039448
f2_p_cfo,5.670343330175165
f2_neg_accruals_flag,5.005252413805774
f2_neg_pe_flag,3.0016452746916893
f2_ocf_to_profit_extreme,3.0008500060470866
f2_high_debt_flag,1.6684836926289315
gov_big4_auditor,1.339848705052683
f2_neg_pb_flag,1.0010296364061246
