company_code,report_period,risk_probability,risk_rank,risk_level
000673.SZ,20211231,0.8008123584868729,1,A-极高
002005.SZ,20201231,0.7412117996716205,2,A-极高
000679.SZ,20200331,0.7368716391072154,3,A-极高
000040.SZ,20220331,0.7166564862918039,4,A-极高
000980.SZ,20200930,0.7058559244053453,5,A-极高
002316.SZ,20220331,0.7020365421993773,6,A-极高
002121.SZ,20220331,0.700964684114925,7,A-极高
000980.SZ,20200331,0.6945279192101406,8,A-极高
000040.SZ,20201231,0.6854598952795341,9,A-极高
000040.SZ,20200930,0.6738088984810027,10,A-极高
002069.SZ,20200331,0.6723460777922532,11,A-极高
002471.SZ,20200331,0.6672019218595767,12,A-极高
002316.SZ,20221231,0.6670851206590535,13,A-极高
002471.SZ,20201231,0.6664338573700463,14,A-极高
000595.SZ,20200331,0.6604183313484373,15,A-极高
002517.SZ,20200331,0.65779127259308,16,A-极高
002168.SZ,20220331,0.6560777107108109,17,A-极高
000908.SZ,20230331,0.6389329197805538,18,A-极高
002488.SZ,20200331,0.6361982890673153,19,A-极高
002417.SZ,20220930,0.6355675884866467,20,A-极高
000980.SZ,20201231,0.6349794179618884,21,A-极高
000673.SZ,20210630,0.6290415949720618,22,A-极高
000536.SZ,20200331,0.6287215394976192,23,A-极高
600870.SH,20200331,0.6284549696711148,24,A-极高
002383.SZ,20210331,0.6261062029584599,25,A-极高
002485.SZ,20221231,0.6252247622064308,26,A-极高
002383.SZ,20201231,0.6250762100517304,27,A-极高
000673.SZ,20210331,0.6164737555352688,28,A-极高
000038.SZ,20200331,0.6141336358019365,29,A-极高
000502.SZ,20220331,0.6129178172577334,30,A-极高
002005.SZ,20210930,0.6081655131076991,31,A-极高
002354.SZ,20200331,0.5932655731652641,32,A-极高
002005.SZ,20200630,0.5905541754417536,33,A-极高
000040.SZ,20210630,0.5901200688765994,34,A-极高
000673.SZ,20220331,0.5842115618906618,35,A-极高
000005.SZ,20230331,0.5802687127063262,36,A-极高
002316.SZ,20230331,0.5798506566208905,37,A-极高
002488.SZ,20201231,0.5767418157171623,38,A-极高
002781.SZ,20221231,0.5708806339526219,39,A-极高
002445.SZ,20200331,0.5692623080138447,40,A-极高
002427.SZ,20210331,0.5650635563513673,41,A-极高
002264.SZ,20200331,0.5645843715054663,42,A-极高
002168.SZ,20210331,0.5630431994417789,43,A-极高
002168.SZ,20200331,0.5600079356474685,44,A-极高
002168.SZ,20201231,0.5598832991476059,45,A-极高
002485.SZ,20220331,0.5553270135592865,46,A-极高
002069.SZ,20201231,0.5530422190727748,47,A-极高
002248.SZ,20200331,0.5493643713146834,48,A-极高
002586.SZ,20210331,0.5487900475191332,49,A-极高
000927.SZ,20200331,0.5456261687758495,50,A-极高
000980.SZ,20200630,0.5437363915999147,51,A-极高
000669.SZ,20200331,0.5429538019591108,52,A-极高
002069.SZ,20200630,0.5417029019500341,53,A-极高
002770.SZ,20201231,0.5412677043840952,54,A-极高
000410.SZ,20200331,0.5365956902821978,55,A-极高
002622.SZ,20201231,0.5365441107220804,56,A-极高
002005.SZ,20200331,0.5344709639121599,57,A-极高
002517.SZ,20200630,0.5329665056114105,58,A-极高
002611.SZ,20200331,0.532095396012754,59,A-极高
002586.SZ,20220331,0.5312179506155584,60,A-极高
002517.SZ,20201231,0.5307158843326607,61,A-极高
000040.SZ,20210331,0.5301634369535664,62,A-极高
000889.SZ,20240331,0.5296581743694704,63,A-极高
600331.SH,20200331,0.5289448810913786,64,A-极高
002383.SZ,20220331,0.526891700651809,65,A-极高
002121.SZ,20210331,0.5234697554074711,66,A-极高
000701.SZ,20200331,0.5210231347400855,67,A-极高
