feature,importance_ensemble
sent_read_count_30d,274.34381487034165
mkt_volume_ratio_20d,263.0022443793816
mkt_max_drawdown_60d,239.3361087396446
mkt_return_5d,238.6692392228899
mkt_volume_cv_20d,234.00229568301128
mkt_pb_industry_zscore,229.66880275354637
mkt_institutional_holding_ratio,228.33603955401415
sent_guba_negative_ratio_30d,223.67359443207962
mkt_pe_change_qoq,223.33594229376902
mkt_pe_ratio,219.00319297299498
f6_last_inquiry_interval_days,216.6785772846716
mkt_pb_ratio,214.33579405271726
mkt_institutional_holding_change,213.33580049099191
mkt_excess_return_20d,211.33582861888559
mkt_volatility_20d,202.00251642772352
sent_post_count_5d,198.6714345374835
mkt_volatility_60d,197.66902090525375
mkt_return_20d,196.66925791879544
sent_guba_positive_ratio_30d,195.00404789215406
sent_guba_sentiment_volatility_30d,190.00400668208746
mkt_pb_change_qoq,189.66907345122328
sent_sentiment_volatility_30d,189.33534039727635
mkt_return_60d,187.66936652216756
sent_post_daily_peak_30d,176.0049367827113
mkt_institutional_holder_count,169.33924042112304
mkt_amihud_illiquidity_20d,168.66950522844263
mkt_market_cap,168.3362576665017
mkt_cap_industry_zscore,168.3355432223954
sent_post_count_30d,163.3396168873017
sent_sentiment_mean_30d,161.66867585210684
mkt_market_cap_qoq,156.6688392320422
gov_independent_director_ratio,156.00215048310972
f6_first_inquiry_interval_days,155.67445968219337
sent_guba_sentiment_mean_30d,154.3353919304602
announcement_semantic_000,145.00655078504826
gov_top10_holder_ratio,138.0029848878316
mkt_financing_balance_change,131.3349206235948
sent_negative_ratio_30d,130.0031010268075
mkt_days_since_last_risk_warning,123.00391904049604
mkt_securities_balance,117.00191477283693
mkt_financing_balance,116.66877906200232
gov_board_size,115.00210532361416
f6_inquiry_count_12m,114.73663986494218
gov_top1_top10_ratio,112.33544188293065
f2_trend_deterioration,111.33644168648516
sent_news_title_count_30d,109.6687499684029
gov_top1_top2_gap,108.00246114744915
sent_news_count_10d,106.33634210605267
sent_news_count_30d,104.00221236960488
announcement_semantic_020,104.00193470508452
announcement_semantic_231,102.0021433698555
announcement_semantic_008,101.33552245412932
announcement_semantic_017,100.66853945984703
announcement_semantic_006,100.00237994079627
announcement_semantic_002,99.66941301110798
announcement_semantic_009,99.66911092984304
announcement_semantic_021,98.66865265460645
announcement_semantic_241,97.33539783508706
announcement_semantic_253,97.00199175303364
announcement_semantic_183,95.3356334835254
announcement_semantic_276,94.33528413062778
announcement_semantic_018,93.6689077634734
announcement_semantic_233,93.66852061212575
announcement_semantic_138,93.33530812587351
announcement_semantic_001,92.33570082411417
announcement_semantic_128,92.33538814569444
f6_inquiry_count_60m,91.68317565747435
announcement_semantic_007,91.00195005080944
announcement_semantic_117,90.66852442357619
announcement_semantic_291,89.33536181209497
announcement_semantic_016,89.0023428750918
announcement_semantic_156,88.3355116955779
announcement_semantic_235,88.00211428205074
announcement_semantic_281,87.33543657513825
announcement_semantic_039,87.33527039161248
sent_negative_news_count_30d,87.00414552403261
announcement_semantic_023,86.66874969805355
announcement_semantic_026,85.66866553067439
sent_news_count_5d,85.33618190491308
gov_top1_holder_ratio,85.00244527911802
governance_year,83.34618282240687
announcement_semantic_133,83.33505093263717
announcement_semantic_116,82.66863028189825
announcement_semantic_136,82.66853349052182
announcement_semantic_221,82.66849809029281
announcement_semantic_037,82.66840467191425
announcement_semantic_035,82.3351928827204
announcement_semantic_071,82.00179093399616
announcement_semantic_114,81.66852791590406
announcement_semantic_145,81.33520965633616
announcement_semantic_110,81.00198916652555
announcement_semantic_277,79.66858005384286
announcement_semantic_005,78.33564228871634
announcement_semantic_011,78.00192873233736
announcement_semantic_069,76.33532197510372
announcement_semantic_041,76.3350927402674
announcement_semantic_067,76.00198823479256
f6_avg_inquiry_interval_days,75.34569793005046
announcement_semantic_054,74.66861969007518
announcement_semantic_200,74.66856328527219
f6_annual_report_inquiry_count,74.34623042834548
announcement_semantic_139,74.33520833728434
announcement_semantic_044,73.66854608544516
gov_nonstandard_audit_opinion,73.02943608074906
announcement_semantic_030,72.66855594571379
sent_news_daily_peak_30d,72.00251100768226
f6_attention_letter_count,70.02750709042326
f2_benford_flag,69.35510269339288
mkt_extreme_down_days_20d,69.00372385024058
announcement_semantic_024,68.66854538509226
mkt_abnormal_volume_days_20d,65.00239788646806
gov_independent_director_count,61.66901846003506
f6_inquiry_count_24m,58.70505451890448
f2_p_roa,55.37649346816531
mkt_log_market_cap,49.669652275905754
f6_inquiry_interval_cv,47.68264614270646
f2_industry_outlier_count,42.3345977631729
f2_p_cfo,41.6822731364449
f2_loss_flag,41.014182140226495
mkt_risk_warning_count_90d,31.33884205096018
f2_neg_accruals_flag,28.006570228812745
f2_neg_pe_flag,27.01115283302968
f2_ocf_to_profit_extreme,26.6697317524192
sent_negative_peak_30d,26.33707083877879
f2_high_debt_flag,24.66933179343616
mkt_risk_warning_count_30d,23.002914211687756
f6_unreplied_count,22.334902874601568
f6_restructuring_inquiry_count,15.002458943347103
gov_auditor_change,11.66980931234154
gov_audit_firm_change,7.000930688686938
gov_big4_auditor,6.668512520951798
gov_top10_holder_count,2.0017498968170844
